state,dist_name,address,email,telephone,state_code
Delhi,GAUTAM ENTERPRISES,"WZ-69B, MUKHERJEE PARKTILAK NAGARNEW DELHINEW DELHI,DELHI,110018",gautamenterprises67@gmail.com,011-25982030 9868124105,DL
Delhi,LUCKY PHARMACEUTICALS PVT. LTD.,"BASEMENT PLOT NO - F 26/3,OKHLA PHASE - IINEW DELHINEWDELHI,DELHI,110020",lpplbhogal@gmail.com,4324993 FAX 4311865,DL
Delhi,SUNNYCO,"E-99-98-81, (LGF),LAJPAT NAGAR 1,DELHI,110024",sunnyco99@bol.net.in,98997887079899788709,DL
Delhi,AAR AAR Healthcare,"18, BASEMENT SANT NAGAREast of KailashGreater Kailash (50),New Delhi,110065",info@aaraarhealthcare.com,8826929090,DL
Delhi,AAR AAR Healthcare (South),"18, BASEMENT SANT NAGAREast of KailashGreater Kailash (50),NEWDELHI,110065",info@aaraarhealthcare.com,8826929090,DL
Delhi,NOVACARE HEALTHCARE SOLUTIONS Pvt.,"Mayapuri Industrial AreaA 7 2nd FloorPhase IINew Delhi,Delhi,110064",,8860074107,DL
Delhi,Pharma Cube,"144, 1st Floor, Lal Dora Extn,Amberhai Village, Sector -19, Dwarka,New Delhi,110075",pharmacube8@gmail.com,011-28043949,DL
Delhi,A. S. PHARMA Pvt. Ltd ( MAX ),"E-47/10 Ground FloorPhase -2Okhla Industrial Area Phase IINew DelhiNewDelhi,DELHI,110020",santoshdudeja1@gmail.com,9810424353,DL
Delhi,SANJEEVANI ENTERPRISES (EAST) DLH,"86 A, Hall No 2, 3rd FloorKH No 204 - 2, Village Chandrawali,Jagat Puri, Main 100 FTRoad, Shahdara,Delhi,110093",,,DL
Delhi,IMPEX HEALTHCARE Pvt. Ltd.,"B-6/5, Ground Floor,Okhla Indl. Area, Ph -2,New Delhi,110020",ho@impexgoc.com,49057606,DL
Delhi,AARK PHARAMACEUTICALS,"S-14, FIRST FLOORGREEN PARK EXT (MARKET),NEW DELHI,110016",dheerajaarkpharma@gmail.com,011-26520130-32,DL
Delhi,A S Pharma Pvt Ltd,"E-47/10 OKLA PHASE -2HOKHLA INDUSTRIAL AREAOKLA PHASE -2HPHASE2,New Delhi,110020",as.pharma@rediffmail.com,9810424353,DL
Delhi,"R K PHARMA, YUSUF SARAI, Delhi","60/2 FIRST FLOORYUSUF SARAI,NEW DELHI,110016",rkpharma88@gmail.com,9812235550 9810235550,DL
Delhi,NARULA ASSOCIATES,"Rajendra Sunehari bhawanC 1 Block Plot No. 6,Janak puri,NEW DELHI,110058",narulaassociates1996@yahoo.com,011-25504849 011,DL
Delhi,"LUCKY PHARMACEUTICALS, APOLLO","Basement F-26/3,PHASE -IIOKHLA INDUSTRIAL AREANEW DELHI,NEWDELHI,110020",lppldelhi@yahoo.in,011-49837500,DL
Delhi,NARANG BIOTEC PVT. LTD,"Plot No.3966, Roshnara RdOpposite Palace CinemaNear Pulbangash metrostation,DELHI,110007",narangbiotec@gmail.com,9310014268,DL
Delhi,NOVACARE HEALTHCARE SOLUTIONS DELHI,"A-7, 2nd FloorMayapuri, Industrial AreaPhase-IITal . Hari Nagar 28,NEWDELHI,110064",delhi@novacare.in,8860074107,DL
Delhi,NARANG BIOTEC PVT. LTD,"Plot No.3966, Roshnara RdOpposite Palace CinemaNear Pulbangash metrostation,DELHI,110007",narangbiotec@gmail.com,9310014268,DL
Goa,E C AGENCIES,"SHOP No. 12, BLDG. A,DATTA GIRI APTS.,VARDE VALAULIKAR ROAD, MARGAO,SALCETTE,,MARGAO,403601",normandasilva@hotmail.com,832273411,GA
Goa,SAMBARI ENTERPRISES,"""""""GAJANAN""""""OPP TO LITTLE PRIMARY SCHOOLMURIDA ROAD,FATORDAGOA,FATORDA,403602",jyoti@sambarienterprises.com,27499282749929,GA
Gujarat,ANGI AGENCY,"GF-39,STATION ROADSHIVGANGA COMPLEXBALVA,AHMEDABAD,382220",angi.agency@gmail.com,9825931530,GJ
Gujarat,A.B.C. DISTRIBUTORS,"401/402/403SURAT DAWA BAZARVASTADEVDIRDKATARGAMSURAT,SURAT,395004",abc.sureshramani@gmail.com,9825861920,GJ
Gujarat,AMAR ENTERPRISE,"IST FLOOR, MINAL SHOPPING CENTRESUMAIR CLUB RD,JAMNAGARTELE 02882557207 2550151(R)02882563127,JAMNAGAR,361005",amarenterprise100@yahoo.com,288-2557207/6455001,GJ
Gujarat,ANKUR DISTRIBUTORS,"8. A TO Z, SUPER MARKET,MEMON MARKET COMPLEX,STATIONROADKALOL,KALOL,382721",jlallubhai123@gmail.com,02762 -221487 02762 -221,GJ
Gujarat,AMEE ENTERPRISE,"B/H. GUJRATI KUMAR SHALA NO 1SHIYAPURAROAPURA, BARODABARODA 390001,BARODA,390001",ameeeterprise1989@yahoo.com,0265-2432244,GJ
Gujarat,BHAKTI CORPORATION,"19, GAJJAR CHAMBERSDETROJ RDKADI - 382 175(B.K. TO. S S C),KADI,382175",bhakticorpo@gmail.com,02765-292132,GJ
Gujarat,B M PHARMA,"A/65, 1ST. FLOORKILACHAND SHOPPING CENTERPATAN-384 265,PATAN,384265",bmpharmapatan@gmail.com,02766-233624,GJ
Gujarat,BELA DRUG CENTRE,"BASEMENT , NATRAJ COMPLEX,OPP, L.G. HOSPITAL,MANINAGAR,AHMEDABADPH-079 25465389,25462935,AHMEDABAD,380008",beladrug@gmail.com,93288 22228 (BHAVINBHAI),GJ
Gujarat,CHANDRAMAULI AGENCIES,"G-1, SUKHSHANTI COMPLEX,KALANALA.BHAVNAGAR (GUJARAT),BHAVNAGAR,364001",kaushalmehta1976@gmail.com,0278-2515775 3290345,GJ
Gujarat,DHRUVI PHARMA PVT. LTD.,"KTC HOUSE,SHAYONA SILVER ESTATE PART -2S G ROAD, GOTANEARLAMBADA BESIDE AUDA WATER TANKBH SILVER OAK",ahm@dhruvipharma.com,079- 40055601602603,GJ
Gujarat,DEEP DISTRIBUTORS,"POST BOX NO. 51 , NEHRU STREETVAPI,VAPI,396191",deepmedical@yahoo.com,9825127704,GJ
Gujarat,DESAI MEDICAL STORE,"SHOP NO.26GROUND FLRMARUTI NANDAN COMPLEXMANDAL Rd.VIRAMGAMVIRAMGAM,VIRAMGAM,382125",desaimedicalstores@gmail.com,0271-533853-9825037319,GJ
Gujarat,ARIHANT FINE PHARMA AGENCY,"MISTRY BUILDINGM.G.ROAD,BILIMORA,BILIMORA,396321",jivandharapharma@gmail.com,9377752557,GJ
Gujarat,GUJARAT MEDICINES,"F-48 TIRUPATI MARKETNEAR BUS STAND,SIDDHPUR,SIDDPUR,384151",gujrat.vinod@gmail.com,9925150320,GJ
Gujarat,GURUKRUPA MEDICAL AGENCY,"Y.K PALACE ,LUHARPOLEMACHALLIPITHSHAHPORESURAT,SURAT,395003",gurukrupaa87@yahoo.com,0261-24117632402655,GJ
Gujarat,JAY DISTRIBUTORS,"JAIN STREETVAPI,VAPI,393191",jdvapi@gmail.com,9825129112,GJ
Gujarat,JOSHI BROTHERS,"PROPERTY NO. 12/1702ND FLOOR,HEALTH POINT COMPLEXBEHIND MEHTAPETROL PUMPGIRDHARNAGAR,HIMATNAGAR,383001",amitjoshibrothers@gmail.com,(02772)40876,GJ
Gujarat,KRISHNA MEDICAL AGENCIES,"A/2,CHANDRAVILA APPARTMENTSNR. DR. BHAKKAS CLINIC,VANKIBORDI,SAIYEDPURA,SURAT,SURAT,395003",krishnamedicalagencies1992@gmail.com',0261-24259232454585,GJ
Gujarat,K RAJ & CO.,"12/1148, 1ST FLOORRAZAK BAND LANE,DAR-E-ELAAF,LUHARPOLE,SHAHPORE,,SURAT,395003",k.raj.co.surat@gmail.com,2612438769,GJ
Gujarat,K.B. SHAH & CO.,"K.B. HOUSE, OPP. ANUPAM CINEMA,KHOKHARAAHMEDABADMOB 9824011525,9824041070,,AHMEDABAD,380001",khokhra@kbshah.com,079 22936616/17,GJ
Gujarat,KOTECHA ENTERPRISE,"DHANRAJ,DR. RADHAKRISHNA ROAD,RAJKOTRAJKOT,RAJKOT,360001",kotechaent@yahoo.com,281-2450230/6539330,GJ
Gujarat,K. CHIMANLAL & CO,"G/15,NEW MADHUPURA MARKETNR, POLICE COMMISSIONEROFFICESHAHIBAUGAHMEDABAD,AHMEDABAD,380004",bhaveshkc@gmail.com,25627071/72,GJ
Gujarat,MAHARAJA AGENCIES,"18,BAHUBALI COMPLEXB/H PILL GARDEN,BHAVNAGARTELE-0278-26017F-24,BHAVNAGAR,364001",maharajadistributor@gmail.com,0278 - 2436017,GJ
Gujarat,JASMINE CORPORATION,"JASMINE CORPORATION10,SAMARTH RAMAJI DHARMASHALA1 ST FLOOR,STATION ROAD,HIMATNAGAR,HIMATNAGAR,383001",jasmine245404@gmail.com,02772-245404/244273,GJ
Gujarat,NARMADA MEDICAL AGENCY,"FALSHRUTINAGAR,NEAR PLAMLAND HOTEL,STATIONROAD,BHARUCH,BHARUCH,392001",narmadamedicalagency@gmail.com,02642-2225419879454187,GJ
Gujarat,NATIONAL PHARMA DISTRIBUTORS,"EAST WING 3RD FLOOR,J.B.COMPLED OPP.NEW BUSSTANDJUNAGADH,JUNAGADH,362001",nationalpharma444@gmail.com,0285-263420326306869428,GJ
Gujarat,PARIKH MEDICAL AGENCIES,"GROUND FLOORALANKAR CINEMA RDNR. SPINWELLIND.SURENDRANAGAR,SURENDRANAGAR,363001",doshinilesh99@gmail.com,02752-220010,GJ
Gujarat,PHARMAKEM,"SHREEJI COMPLEX,OPP.OLD BUS STATIONJUNAGADH.,JUNAGADH,362001",pharmakem1992@gmail.com,9825222370,GJ
Gujarat,RUSHABH MEDICAL AGENCY,"RADHEY COMPLEX,NR. CHHATRI CHOWK,STATION ROAD,BOTAD,BOTAD,364710",RUSHABHMEDICALAGENCEY@GMAIL.COM,02849-253878,GJ
Gujarat,RELIEF PHARMA DISTRIBUTORS,"14, VASANT PHARMA COMPLEXPANCHRATNAAMIRROAD,PALANPURPALANPUR,PALANPUR,385001",rreliefpharma@gmail.com,9429972220,GJ
Gujarat,ROYAL DISTRIBUTORS,"301 TO 305 3RD FLOORSURAT DAWA BAZAARB/H KIRAN HOSPITAL, VASATDEVDI RDKATARGAMSURAT,SURAT,395004",svk_royal@yahoo.in,9825956301,GJ
Gujarat,SAURASHTRA SURGICAL MEDICAL AGENCY,"MAITRI OPP.TALUKA SCHOOLNR.MOTI TANKI,P.O.BOX123RAJKOT,RAJKOT,360001",rajkotssma@gmail.com,9825223432,GJ
Gujarat,SHREE NAVDURGA MEDICAL AGENCY,"BASEMENT,AKASH GANGA APPTNR. DR. BHACCA DISPENSARYWANKI BORDI,SAIYEDPURA,SURAT,SURAT,395003",navdurgamedical@gmail.com,2613292807,GJ
Gujarat,SHREE SARSWATI MEDICAL AGENCIES,"12/1781, 1782/A, Basementvakil street, shahporeopp. Motiwala masjidHanapark,SURAT,395003",krunal_ghayel@yahoo.co.in,26222434290,GJ
Gujarat,SHAH & KOTHARI BROTHERS,"1 NEPTUNE TOWER,OPP.NEHRU BRIDGE,ASHRAMROADAHMEDABAD,AHMEDABAD,380009",shah.kothari@gmail.com,65846196583006982503666,GJ
Gujarat,SHREE TIRUPATI ENTERPRISE,"33, AKAR COMPLEX1ST FLOOR, S.T.ROAD,VERAVALF 45,VERAVAL,362265",,9426924999,GJ
Gujarat,S P PHARMA AGENCY,"1ST FLOORNR.SANTRAM CO.OPP.BANK,OPP.GHANTAKARNA COMLEX, GUBJBAZAR,NADIAD,NADIAD,387001",spphama_nadiad@yahoo.com,0268 2552283,GJ
Gujarat,VAIBHAV SALES,"PUSHPAK', UPALI BAZARBARDOLI,BARDOLI,394601",vardhman_vaibhav@yahoo.com,2622221094,GJ
Gujarat,SURAJ ENTERPRISE,"DR.RADHAKRISHNA ROAD,NR. MOTI TANKI,RAJKOT,RAJKOT,360001",surajent.rajkot@gmail.com,281-2449826,GJ
Gujarat,SHREERAJ MEDICAL AGENCY,"SMURTI BUILDING 'SIYAPURA, RAOPURABARODA 390 001,BARODA,390001",shreeraj_ma@yahoo.co.in,0265 - 438768,GJ
Gujarat,SAIBABA DISTRIBUTORS,"OPP.BOKA COMPLEX,GANJROAD,DHANERADIST.BANASKANTHA,DHANERA,385310",hitenbhimani007@yahoo.com,MO9427536091,GJ
Gujarat,TRUST PHARMA DISTRIBUTION,"1 ST FLOOR,ASHA SHOPPING CENTER,SHRINAGAR,IDAR-383 430,IDAR,383430",trustpharma.idar@gmail.com,02778 - 253515,GJ
Gujarat,UMIYA PHARMA DIST.,"223, NEELKANTH COMPLEX,OPP, CIRCUIT HOUSE, STATIONROAD,DEHGAMDEHGAM,AHMEDABAD,382325",mehta.purav18@gmail.com,93271989899662905494,GJ
Gujarat,VIKRAM MEDICAL AGENCIES (KLP),"NAVLIWALA BUILDINGSTATION ROAD,ANANDBOOK TO V V NAGAR F27,ANAND,388001",vikrammedicalagency@gmail.com,9825324372,GJ
Gujarat,ROYAL AGENCY,"B-2, MUNICIPAL SHOPPING CENTRE,MAYFAIR ROAD, ANAND388001,ANAND,388001",royalanandb@gmail.com,9879313346,GJ
Gujarat,YERA MEDICAL AGENCY,"PLOT NO-294, BASEMENT B-1,""""""ABHINANDAN APPARTMENT""""""OPP, CHURCH,SECTOR 23GANDHINAGAR,GANDHINAGAR,382023",yeramedical@gmail.com,9824419220948640791,GJ
Gujarat,PALAK MEDICAL AGENCY,"1, SHREE SAI COMPLEX,NEAR MADHWANI CLASSES,B/H. SANSTHAVASAHAT,RAOPURA, BARODA,BARODA,390001",palakagency@gmail.com,0265 24327612415760,GJ
Gujarat,K. R. HOSPITAL CARE,"A-102, SIMANDHAR ESTATE,INCOME TAX, ASHRAM ROAD,OPP. SAKAR-III,,AHMEDABAD,380014",kr_mehta@hotmail.com,079-27545042,GJ
Gujarat,SANTRAM MEDICAL AGENCY,"R/02/121, SHIYAPURA, RAOPURA,VADODARA,390001",santram_agency@yahoo.com,9429136600,GJ
Gujarat,SANJIVANI MEDICINES,"G F TO FIFTH FLOORMILKAT NO 1099, PLOT NO 30 2,C S NO. 1014 2BEHINDSANKET INDIANEAR MAHAGUJARAT HOSPITAL,NADIAD,387001",sanjivanimedicines@yahoo.co.in,02692 - 2550433 2550533,GJ
Gujarat,SHREE AMBICA MEDICAL STORE,"BASEMENT 12/1123-24VANKI BORDI,SHAHPOREDR. BHACCASSTREETMEGHDOOT APARTMENT,SURAT,395003",shreeambica30@rocketmail.com,9374711850,GJ
Gujarat,RELIABLE TRADE CORPORATION,"SHOP NO. 100,NR. RAILWAY GODINARMADA MARKET,,BHARUCH,392001",reliablebharuch@gmail.com,9426387029,GJ
Gujarat,SHREE JAY AMBE MEDICAL AGENCY,"12/2856-A/B,SAIYEDPURA,BASEMENT BIBI NI WADI,SURAT,395003",shreejayambemedical@yahoo.com,0261-2451775,GJ
Gujarat,FORAM DISTRIBUTOR,"12/1086,1087,""TAHID PALACE"",LUHAR POL,MACHHALI PITHOPP..SATI MATAMANDIRNR. GURUKRUPA MEDICAL AGENCY,,SURAT,395003",foramdistributor@yahoo.com,0261-2437887,GJ
Gujarat,TAPI DRUGS HOUSE,"1st Floor, Akarani No. 1348,Ward No. 04,Bethal ColonyAndharwadi Road,HighwayRoad, Vyara,VYARA,394650",modihinesh8@gmail.com,9426870319,GJ
Gujarat,BHOOLA DISTRIBUTORS,"12/1234-35, 1739-BVANKI BORDI MAIN ROAD,TAKSHASHILAAPARTMENT,SHAHPORE,SURAT,395003",bhooladistributors9@gmail.com,9824179071,GJ
Gujarat,PHARMA DISTRIBUTOR,"3-B, CELLER,NEPTUNE TOWER,OPP, NEHRU BRIDGE,,AHMEDABAD,380009",pharmadistributor2016@gmail.com,9979737500,GJ
Gujarat,PAVAN DISTRIBUTORS,"12/703,704 KING PALACECELLER NO. 4 AVANKIBORDIRANITALAVSURAT,SURAT,395003",,,GJ
Gujarat,MAHENDRA MEDICINES,"NALANDA ENCLAVEPRITAMNAGAROPP SUDAMA RESORTELLISBRIDGEAHMEDABAD,Ahmedabad,380006",mahendramedicines@gmail.com,7926576739,GJ
Gujarat,RELIANCE MEDICAPS,"VADI WADIRAOPURA PATIDAR MOHALLABARODA,BARODA,390001",rmplvadodara@gmail.com,9825034579,GJ
Gujarat,O.B. ENTERPRISE,"WORLD BUSINESS HOUSEOPP KRUPA PETROL PUMPNEAR PARIMALGARDENELLIS BRIDGEAHMEDABAD,AHMEDABAD,380015",obenterprise2012@gmail.com,7940305067,GJ
Gujarat,ATC PHARMA PVT. LTD.,"MILKAT NO. 08, 22903 021, 4TH FLOORPATEL COMPLEXPATNIMOHALLAWADIWADI, RAOPURA,BARODA,390001",allied.firoz@gmail.com,265,GJ
Gujarat,MJT PHARMA,"Shop no C 85 & 88,Katira Medical MarketKatira ComplexRTO Relocation SiteMadhaparRd,Bhuj,370001",mjtbhuj@gmail.com,2832,GJ
Gujarat,SHREEJEE DISTRIBUTOR,"153, SHANKHESHWAR COMPLEXESOPP RAYMONDS SHOWROOMNEARKSHETRAPAL TEMPLE,SURAT,395002",rawalfm@gmail.com,23554553,GJ
Gujarat,Yagna Medical Science,"3rd Floor, Omkar - 1Opp. Police Parade GroundGPO LaneRaopura,Vadodara,390001",yagnamedical@yahoo.com,0265-2418955,GJ
Gujarat,SURBHI MEDICAL AGENCY,"POOJA SANKUL, FIRST FLOORSHOP NO 1 AND 2ASTRON CHOWKOPPASHWARY HOSPITAL,RAJKOT,360001",,2812460522,GJ
Gujarat,Relief Drug Agency Bhuj,"Shop No. 45, ''A'' Wing,Katira ComplexR T O Relocation SiteBhujKachchh,Bhuj,370011",rdabhuj@gmail.com,9227626222,GJ
Gujarat,Sanjivani Medicines Pvt. Ltd.,"PLOT NO.30/2,MILKAT NO.1099,CITY SURVEY NO.1014 2,BEHIND SANKETINDIAOPP. HDFC BANK, NEARMAHAGUJARAT HOSPITAL,NADIAD,387001",sanjivanimedicines@yahoo.co.in,919925026371,GJ
Gujarat,O.B.ENTERPRISE,"32, WORLD BUSINESS HOUSEOPP. KRUPA PETROL PUMPNR. PARIMALGARDEN,AHMEDABAD,380015",,40305067-079,GJ
Gujarat,SURBHI MEDICAL AGENCY,"POOJA SANKUL, FIRST FLOORSHOP NO 1 AND 2ASTRON CHOWKOPPASHWARY HOSPITAL,RAJKOT,360001",,2812460522,GJ
Gujarat,Yagna Medical Science,"3rd Floor, Omkar - 1Opp. Police Parade GroundGPO LaneRaopura,Vadodara,390001",,0265-2418955,GJ
Haryana,AGGARWAL MEDICOSE,"CROSS ROAD NO. 1OPP DATTA HOSPITALAMBALA CANTT,AMBALA,133001",aggarwalmedicose.ambala@gmail.com,9467677040,HR
Haryana,CENTRAL MEDICAL AGENCIES,"6, DRUG STREET,CITY THANA ROADHISAR,HISAR,125001",central.med.ag.hisar@gmail.com,1662272619,HR
Haryana,GANDHI MEDICAL HALL,"KACCHA BERI ROAD,ROHTAK,ROHTAK,124001",vickyrohit22@gmail.com,1262236382,HR
Haryana,GYANDEEP ENTERPRISES,"PHARMACEUTICALS DISTRIBUTORS562,GOPI COLONY,OLDFARIDABAD,FARIDABAD,121002",gyandeep562@gmail.com,9811058054,HR
Haryana,LOVELY MEDICAL AGENCY,"CENTRAL BANK STREET,G.T.ROAD, FATEHABAD,FATEHABAD,125050",lovelyagency.fatehabad@gmail.com,9812324494,HR
Haryana,RADHA KISHAN PHARMACEUTICALS,"440/8INDIRA COLONY, KURUKSHETRAMAYA COMPLEX, NEAR ANKUR NURSINGHOME,KURUKSHETRA,136118",ajay.radhakishan@gmail.com,9812026380,HR
Haryana,SANJEEVANI ENTERPRISES,"LOWER GROUND FLOOR, PLOT NO.3VPO. SARHAUL, SECTOR 18NEAR CBIBANKGURGAON,GURGAON,122015",sanjeevanienterprises18@gmail.com,1244540200,HR
Haryana,NOVACARE HEALTHCARE SOLUTIONS P.LTD,"Khewat No. 435/560 & 812/1002khasra No.678 Revenue EstateVillage Khandsa TehsilKadipurKadipurGurugram,Gurugram,122001",ggn@novacare.in,1242316700,HR
Haryana,SANJEEVANI ENTERPRISES (WEST),"LOWER GROUND FLOOR, PLOT NO.3VPO. SARHAUL, SECTOR 18NEAR CBIBANK, GURGAON,GURGAON,122015",,,HR
